country_id,disaster_id,date_id,industry_id,weather_id,risk_id,sector_id,affected_population,deaths,severity_score,economic_loss_usd,insurance_loss_usd,carbon_emission_mt,avg_temperature,rainfall_mm
7,3,1281,3,1,4,7,39318,152,9.7,1284121948,872945126.0,1355.54,44.0,4.9
4,6,1520,5,3,3,4,117139,122,6.5,2939778913,1029223151.0,2335.63,25.9,417.8
8,3,220,6,1,4,1,288665,478,10.0,8319325300,2082774795.0,4073.45,43.1,9.8
5,5,2005,3,4,4,7,153901,526,9.7,3709706654,\N,4822.93,\N,482.0
7,6,173,6,3,3,7,164251,224,7.2,2401875223,1733943245.0,827.69,27.5,220.3
10,3,1414,3,1,4,6,456395,999,8.1,6524851117,2242947237.0,391.76,46.0,10.1
3,3,502,8,1,4,4,259279,751,9.0,6727512213,2895053618.0,3960.88,43.2,8.8
7,2,1813,1,1,3,1,311816,825,7.1,8631971146,4671031526.0,4320.53,47.6,9.1
8,3,2179,8,1,4,8,209700,886,9.6,7249245120,1979376255.0,3030.2,41.2,7.1
5,7,798,3,7,4,2,94036,286,9.8,1656951934,\N,895.73,26.1,791.0
4,5,930,3,4,4,4,406607,1169,9.2,12606443428,9265801359.0,828.03,23.6,563.7
8,1,723,5,3,3,5,245018,707,7.2,5948645011,3455873169.0,2329.95,23.0,453.8
8,1,1334,5,3,3,6,493029,1756,8.3,7210351913,1952188318.0,1009.81,18.7,269.3
3,1,1275,7,3,3,4,439216,568,8.8,10574915788,5531864903.0,1766.69,19.2,415.8
6,5,488,6,4,4,1,139351,194,9.5,3255309035,2177678626.0,3981.86,\N,536.4
5,1,1958,5,3,3,5,47869,133,8.6,1159272294,590161624.0,573.51,21.0,259.8
2,2,1218,3,1,3,2,171480,402,8.2,2976789911,1517999496.0,1553.24,44.5,29.4
8,5,1465,5,4,4,6,54939,135,8.2,753235665,527868552.0,2013.23,26.0,364.9
6,7,313,5,7,4,3,58925,103,9.7,1036832515,271127974.0,1175.95,26.4,574.7
2,6,79,4,3,3,3,150604,407,6.1,3378921223,1319185870.0,3556.61,16.6,585.6
5,7,675,4,7,4,1,194720,307,9.2,6012018943,4797592186.0,2370.56,27.8,789.0
1,5,1738,2,4,4,2,73860,138,8.9,1600656990,1110790989.0,4735.78,34.9,302.3
10,5,14,1,4,4,2,408684,657,8.4,12478757256,4413410576.0,1732.29,23.4,557.4
6,3,2046,7,1,4,8,447720,1746,8.9,15329171676,9652445061.0,4631.34,44.5,0.8
9,3,1038,7,1,4,8,308023,523,9.9,11593924115,4260572932.0,2862.93,46.7,17.6
1,3,2147,1,1,4,4,104189,445,9.8,2876304047,1984474899.0,2716.76,43.5,16.2
10,8,33,5,5,2,8,180584,556,6.5,3992080196,2672718325.0,1212.52,9.5,35.2
3,8,1460,2,5,2,3,292401,572,6.4,3929869440,2613091653.0,4741.47,-1.1,61.4
7,4,257,2,1,3,4,309836,508,7.6,6619212369,1546314492.0,1625.75,42.8,8.1
4,8,34,6,5,2,2,125843,89,5.1,1154596940,867785869.0,2755.78,\N,8.9
9,2,2067,7,1,3,1,260155,277,8.8,8131820928,5599058100.0,4700.18,38.2,13.0
3,5,1284,4,4,4,1,343197,1009,8.6,8143172497,3265436465.0,4260.69,\N,342.0
5,7,1850,2,7,4,5,290976,285,8.0,7616587776,3806378633.0,1578.49,28.5,\N
3,5,2185,3,4,4,7,194111,786,8.2,5211259194,3577596860.0,4035.45,\N,370.3
7,3,359,6,1,4,1,314248,521,8.7,9940669833,7928390978.0,3419.9,46.2,11.4
5,5,754,7,4,4,7,269152,1061,8.2,5800117939,\N,215.2,\N,351.8
9,6,1603,5,3,3,3,455054,1393,7.1,5760665102,3287674311.0,2489.66,24.6,560.1
7,8,404,3,5,2,5,438643,365,4.0,6153284004,3143720204.0,2141.03,4.7,77.9
2,5,1226,1,4,4,3,12433,27,8.2,389451291,131257823.0,3311.64,24.0,535.1
4,7,1400,7,7,4,8,405821,1890,9.4,11158048395,4599242724.0,3529.0,\N,593.9
9,1,278,4,3,3,8,438472,615,7.1,9162003981,2026569728.0,3537.62,19.6,520.8
2,6,112,3,3,3,4,418676,859,7.0,11210049900,6448781738.0,2326.67,20.8,239.5
10,6,1987,5,3,3,7,53756,146,7.6,1388237948,544429939.0,4739.13,20.4,351.8
9,5,392,8,4,4,4,437238,1610,9.6,16210686297,6849040867.0,401.72,28.7,435.9
10,4,969,3,1,3,1,270180,531,7.0,7277568480,2526356306.0,3261.73,37.8,9.8
5,3,2191,3,1,4,5,285480,468,8.5,6525073620,1554121562.0,2223.6,48.3,0.0
2,2,1056,2,1,3,3,2717,8,7.9,32861843,21544289.0,1200.96,35.4,16.4
4,2,269,4,1,3,3,475782,1055,8.7,9445890358,4551026251.0,726.5,44.9,3.4
7,1,2030,1,3,3,8,28665,108,8.1,530546152,398467543.0,2339.15,18.9,630.1
8,2,275,8,1,3,2,477562,1031,8.6,8780836981,2660896453.0,1561.32,36.2,0.9
3,2,743,5,1,3,1,463006,1072,9.0,15647287770,12111037677.0,1135.26,39.1,28.4
1,3,86,6,1,4,6,172611,651,9.4,5714597854,3453597794.0,229.77,48.0,15.2
4,8,404,6,5,2,4,292119,347,5.2,4081603515,2263095293.0,1598.38,-2.0,12.3
2,3,2046,5,1,4,7,203703,730,9.6,2947012041,2322490548.0,4663.07,49.5,\N
8,4,1055,1,1,3,8,225221,589,6.4,5291432262,1449005855.0,2715.12,36.2,0.3
4,7,2155,5,7,4,6,125139,295,9.7,3390278301,1816046132.0,1245.0,29.8,807.6
2,1,1895,2,3,3,8,262483,326,8.6,6963936472,5038470239.0,4879.94,24.6,267.7
6,2,276,8,1,3,7,17861,58,8.5,534401120,366730260.0,3273.3,41.2,21.4
6,4,651,6,1,3,2,382234,1142,7.7,8296885874,4411049180.0,2560.08,30.6,2.3
10,1,1622,7,3,3,4,407582,1512,8.9,9159386495,3048056386.0,4670.75,23.9,264.3
4,6,1106,6,3,3,7,104856,165,7.8,1266073286,461876490.0,3916.14,23.0,359.8
6,2,1914,7,1,3,4,19688,29,7.5,450510660,192864234.0,2685.45,36.7,29.2
2,2,586,3,1,3,8,57231,114,7.5,1201421767,\N,84.9,42.3,24.5
10,3,129,2,1,4,7,59429,210,8.1,1045064907,778243920.0,2099.52,42.9,11.8
2,5,256,6,4,4,3,4890,12,9.9,129305781,54932702.0,4008.37,31.9,454.3
10,1,231,2,3,3,4,206453,541,7.2,3802368772,2433821591.0,1460.26,21.5,673.5
4,2,1161,8,1,3,5,399728,720,7.5,7087177440,3410454702.0,319.35,40.2,\N
8,8,1648,2,5,2,4,202991,453,6.8,3144411786,920075404.0,3060.4,6.2,79.4
7,1,2048,1,3,3,7,317080,272,8.2,5036308472,3311143367.0,4502.89,29.7,274.7
9,7,260,6,7,4,5,28006,72,9.0,875635596,341484591.0,4944.48,28.6,836.9
8,8,2135,7,5,2,7,129973,140,6.8,3210021164,1747568444.0,617.23,-4.8,61.5
5,4,843,4,1,3,4,370950,884,7.5,5976004500,4402242527.0,4812.07,30.1,0.4
2,8,1972,8,5,2,2,348142,843,6.2,4357971927,3167672683.0,1949.11,6.7,16.8
5,4,265,7,1,3,7,21048,29,6.9,383265136,90934226.0,3740.51,43.2,2.6
8,5,392,8,4,4,3,5151,14,8.7,74166673,51208920.0,1060.61,28.3,507.2
